area,date,generation,avgTa,avgWs,avgRhm,ssDur,sumSsHr,sumGsr,avgTca,PM10,PM25
강원도,2016-07-15,341.631814,22.9,1.5,70.0,14.5,2.4,14.7,0.8,30.38888888888889,14.006944444444445
강원도,2016-07-16,57.474086,19.8,1.5,89.9,14.5,0.2,3.07,0.8,23.86111111111111,13.541666666666666
강원도,2016-07-17,198.631959,20.8,0.9,87.3,14.5,0.1,6.22,0.8,19.319444444444443,10.666666666666666
강원도,2016-07-18,366.508804,22.1,1.1,80.4,14.5,5.1,19.51,0.8,18.76388888888889,9.51388888888889
강원도,2016-07-19,389.899425,21.6,1.4,81.4,14.5,0.2,8.18,0.8,28.52083333333333,16.02777777777778
강원도,2016-07-20,372.88445,22.3,1.4,78.5,14.4,1.5,13.24,0.8,21.61111111111111,12.583333333333334
강원도,2016-07-21,388.333291,22.2,1.3,77.1,14.4,2.3,13.62,0.8,24.76388888888889,12.833333333333334
강원도,2016-07-22,508.376713,23.2,1.8,71.0,14.4,10.3,27.49,0.8,23.34722222222222,12.5625
강원도,2016-07-23,324.42276200000003,24.0,1.4,73.9,14.3,4.0,15.83,0.8,33.0,16.569444444444443
강원도,2016-07-24,200.797335,23.8,1.1,80.8,14.3,3.7,15.37,0.8,26.45833333333333,15.567129629629628
강원도,2016-07-25,182.328652,24.3,1.2,78.6,14.3,6.2,20.9,0.8,22.01388888888889,13.82175925925926
강원도,2016-07-26,369.030286,28.9,2.2,60.4,14.3,10.2,23.98,0.8,32.22222222222222,19.48611111111111
강원도,2016-07-27,216.680066,30.0,1.9,53.0,14.2,1.6,10.39,0.8,35.375,19.625
강원도,2016-07-28,390.521681,30.5,2.4,53.4,14.2,11.6,23.63,0.8,44.86111111111112,27.95833333333333
강원도,2016-07-29,128.204566,29.1,2.6,57.8,14.2,2.9,9.85,0.8,54.48611111111112,37.05555555555556
강원도,2016-07-30,300.990566,30.1,1.9,62.3,14.2,9.9,22.92,0.8,51.60416666666666,32.958333333333336
강원도,2016-07-31,345.177945,26.8,1.3,77.8,14.1,4.2,14.32,0.8,44.208333333333336,30.229166666666668
강원도,2016-08-01,335.83459300000004,26.3,1.3,77.6,14.1,8.4,18.29,0.8,39.67361111111112,22.39583333333333
강원도,2016-08-02,306.417556,26.0,1.1,80.5,14.1,3.4,12.09,0.8,35.02777777777778,20.319444444444443
강원도,2016-08-03,439.686955,26.4,1.8,74.1,14.0,8.5,23.14,0.8,32.916666666666664,18.54861111111111
강원도,2016-08-04,488.971038,26.2,1.9,72.0,14.0,12.2,26.13,0.8,33.111111111111114,20.5625
강원도,2016-08-05,504.595638,27.2,1.7,58.0,14.0,12.2,27.82,0.8,30.88888888888889,17.930555555555557
강원도,2016-08-06,493.646301,27.4,1.5,60.1,13.9,12.4,27.61,0.8,32.44444444444444,18.61111111111111
강원도,2016-08-07,411.565322,28.8,1.9,67.0,13.9,8.3,20.07,0.8,40.02777777777778,26.77083333333333
강원도,2016-08-08,373.457265,26.9,2.6,73.6,13.9,8.4,20.14,0.8,39.47222222222222,25.90972222222222
강원도,2016-08-09,393.456234,25.1,1.7,71.0,13.8,9.1,21.49,0.8,26.916666666666668,13.02777777777778
강원도,2016-08-10,366.861241,27.7,1.5,68.6,13.8,11.5,23.09,0.8,38.73611111111112,20.67361111111111
강원도,2016-08-11,433.001976,29.8,2.0,60.5,13.8,12.4,26.21,0.8,48.625,30.98611111111111
강원도,2016-08-12,440.086661,30.5,2.2,56.9,13.7,12.4,26.59,0.8,39.638888888888886,22.27083333333333
강원도,2016-08-13,430.885625,31.5,2.2,55.8,13.7,11.6,25.11,0.8,42.333333333333336,23.95138888888889
강원도,2016-08-14,253.459497,29.3,2.1,67.1,13.7,7.5,16.75,0.8,35.708333333333336,23.43055555555556
강원도,2016-08-15,355.919967,27.9,1.8,72.5,13.6,6.4,15.65,0.8,35.72222222222222,20.381944444444443
강원도,2016-08-16,401.329065,26.6,1.5,73.9,13.6,8.6,20.31,0.8,30.63888888888889,16.958333333333332
강원도,2016-08-17,415.004068,26.3,1.8,72.6,13.6,8.1,16.31,0.8,25.916666666666668,13.88888888888889
